56.0	37.0	64.0	87.0	30.0	15.0	10.0	45.0	39.0	61.0	34.0	31.0	44.0	27.0	20.0	70.0	52.0	14.0	3.0	71.0	48.0	50.0	50.0	38.0	35.0	54.0	26.0	23.0	40.0	79.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_actinocoloniiforme	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	14	15	507	17	8	5	844	780	2	0	469	4	91	126	1748	844	511	491	576	7	405	86	399	1001	16	38	35	204	2	13
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	0	0	19	6	3	1	1	1	12	0	0	0	1	3	15	5	3	6	6	3	3	38	1	4	2	0	5	46	0	3
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	2	2	217	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	28	0	0	0	0	0	1	0	0	0	53	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	0	7	2	6	4	0	377	1	1	4	3	2	2	1014	151	411	363	5	2	40	127	141	6	1	1	15	37	3	7
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	9	9	10	13	90	4	5	9	7	2	7	69	14	0	42	24	4	2	9	14	3	4	2	9	4	1	25	42	3	11
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	1	10	53	0	8	4	7	7	0	2	4	2	0	42	44	1	0	51	1	3	0	1	101	8	0	58	37	7	44
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_choerinum	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	2	9	1	2	0	1	1	0	1	0	0	0	12	7	23	0	2	0	0	1	1	0	3	0	2	5	1	5
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_kashiwanohense	0	0	10	104	0	17	0	4	9	0	5	1	5	2	162	95	2	3	156	3	0	0	3	40	23	4	156	337	6	78
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	140	445	319	10	1772	8	672	161	270	3	605	5895	1099	66	646	551	120	119	348	706	79	80	119	342	89	196	667	1972	2	46
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	4	744	1	109	0	9	37	0	43	0	20	1	938	38	5	0	60	1	0	1	8	10	122	15	875	1875	3	421
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0	0	3	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_scardovii	0	0	2	0	0	0	1	1	0	0	0	0	1	0	2	0	1	3	1	3	1	0	0	0	0	0	1	3	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum	0	0	0	0	1	0	2	0	0	0	3	1	2	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae|g__Candidatus_Planktophila|s__Candidatus_Planktophila_sulfonica	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Catenulisporaceae|g__Catenulispora|s__Catenulispora_acidiphila	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_atypicum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
